RingIndex,ModuleNumber,CenterXn,CenterXm,CenterYn,CenterYm,CenterXd,CenterYd,angle_dev,Meas
11,1,688.133,687.897,41.624,41.625,-0.236,0.001,-0.041707254847494823,0.128
11,2,678.099,677.972,124.267,124.264,-0.127,-0.003,-0.035150968557616125,0.126
11,3,658.176,658.024,205.096,205.067,-0.152,-0.029,0.02124731269844915,0.118
11,4,628.655,628.499,282.935,282.971,-0.156,0.036,-0.0002812243360779121,0.069
11,5,589.968,589.733,356.648,356.548,-0.235,-0.1,0.04993704346367167,0.115
11,6,542.677,542.507,425.161,425.162,-0.17,0.001,-0.021516583550237556,0.13
11,7,487.473,487.225,487.473,487.384,-0.248,-0.089,-0.024401948913492788,0.112
11,8,425.16,425.036,542.677,542.664,-0.124,-0.013,-0.01695803807930929,0.11
11,9,356.648,356.556,589.968,590.021,-0.092,0.053,0.0013929325343866594,0.196
11,10,282.935,282.841,628.656,628.687,-0.094,0.031,0.015167484515814067,0.089
11,11,205.096,204.979,658.176,658.086,-0.117,-0.09,0.049556908368558084,0.079
11,12,124.266,124.147,678.099,678.135,-0.119,0.036,0.0005647481006718635,0.089
11,13,41.625,41.572,688.133,688.061,-0.053,-0.072,-0.03238063524020163,0.096
11,14,-41.625,-41.721,688.133,688.204,-0.096,0.071,0.006335981983013994,0.122
11,15,-124.266,-124.312,678.099,678.069,-0.046,-0.03,0.10980121399445864,0.135
11,16,-205.096,-205.197,658.176,658.142,-0.101,-0.034,-0.010412668029744054,0.422
11,17,-282.935,-282.949,628.656,628.634,-0.014,-0.022,0.044223664566032994,0.099
11,18,-356.648,-356.734,589.968,589.933,-0.086,-0.035,-0.002179551637020438,0.084
11,19,-425.16,-425.254,542.677,542.721,-0.094,0.044,0.013525392618149112,0.137
11,20,-487.473,-487.513,487.473,487.435,-0.04,-0.038,-0.02090514529625409,0.119
11,21,-542.677,-542.769,425.161,425.18,-0.092,0.019,-0.0028508002675806665,0.103
11,22,-589.968,-589.99,356.648,356.633,-0.022,-0.015,-0.028046022086172684,0.076
11,23,-628.655,-628.716,282.935,283.03,-0.061,0.095,-0.029602885650465538,0.145
11,24,-658.176,-658.186,205.096,204.998,-0.01,-0.098,-0.0021391121254978884,0.177
11,25,-678.099,-678.298,124.267,124.363,-0.199,0.096,-0.059693264703154725,0.207
11,26,-688.133,-688.139,41.624,41.563,-0.006,-0.061,0.06128103188291334,0.173
13,1,853.521,853.345,41.931,41.907,-0.176,-0.024,0.0271450358315235,0.121
13,2,845.301,845.023,125.389,125.417,-0.278,0.028,0.013636483599100302,0.153
13,3,828.94,828.793,207.639,207.62,-0.147,-0.019,0.017319954238587343,0.081
13,4,804.596,804.339,287.889,287.924,-0.257,0.035,-0.014422210227365895,0.174
13,5,772.504,772.398,365.367,365.349,-0.106,-0.018,-0.0156349957776456,0.113
13,6,732.972,732.765,439.327,439.359,-0.207,0.032,-0.004014012802684874,0.114
13,7,686.381,686.214,509.055,509.052,-0.167,-0.003,-0.01466124791591028,0.105
13,8,633.18,632.983,573.881,573.912,-0.197,0.031,-0.0037947075856834545,0.093
13,9,573.881,573.798,633.18,633.075,-0.083,-0.105,-0.02634235905799187,0.073
13,10,509.055,508.89,686.381,686.357,-0.165,-0.024,-0.04860712420077107,0.084
13,11,439.327,439.212,732.972,732.926,-0.115,-0.046,0.02091527436705576,0.087
13,12,365.367,365.206,772.504,772.451,-0.161,-0.053,-0.05263521624965506,0.095
13,13,287.889,287.827,804.596,804.542,-0.062,-0.054,-0.042483533326659995,0.079
13,14,207.639,207.5,828.94,828.9,-0.139,-0.04,-0.07147864832460016,0.084
13,15,125.389,125.285,845.301,845.365,-0.104,0.064,-0.048781570263003005,0.074
13,16,41.931,41.791,853.521,853.487,-0.14,-0.034,-0.057046962733707574,0.123
13,17,-41.931,-42.032,853.521,853.42,-0.101,-0.101,0.059625434830039126,0.179
13,18,-125.389,-125.502,845.301,845.327,-0.113,0.026,0.0299989999775363,0.198
13,19,-207.639,-207.675,828.94,828.963,-0.036,0.023,0.03263046462504349,0.104
13,20,-287.889,-288.002,804.596,804.549,-0.113,-0.047,-0.010519232777241427,0.27
13,21,-365.367,-365.32,772.504,772.662,0.047,0.158,0.04437420895025923,0.189
13,22,-439.327,-439.403,732.972,732.951,-0.076,-0.021,-0.017959105150744392,0.14
13,23,-509.055,-509.03,686.381,686.522,0.025,0.141,0.09275649671412367,0.104
13,24,-573.881,-573.969,633.18,633.15,-0.088,-0.03,-0.017404172078300917,0.066
13,25,-633.18,-633.096,573.881,573.954,0.084,0.073,0.09403368243538068,0.115
13,26,-686.381,-686.425,509.055,509.035,-0.044,-0.02,0.017049721819347496,0.208
13,27,-732.972,-732.874,439.327,439.388,0.098,0.061,0.0556009497494685,0.122
13,28,-772.504,-772.543,365.367,365.379,-0.039,0.012,-0.027548957146301234,0.109
13,29,-804.596,-804.576,287.889,287.998,0.02,0.109,0.061098178913567835,0.093
13,30,-828.94,-828.968,207.639,207.628,-0.028,-0.011,0.00508619406730304,0.133
13,31,-845.301,-845.266,125.389,125.452,0.035,0.063,0.020994718569994575,0.137
13,32,-853.521,-853.562,41.931,41.934,-0.041,0.003,-0.016681854807994778,0.152
15,1,1022.286,1022.202,42.282,42.519,-0.084,0.237,-0.02537864647507604,0.169
15,2,1015.303,1015.2,126.557,126.499,-0.103,-0.058,-0.13841183026491422,0.171
15,3,1001.384,1001.289,209.968,209.998,-0.095,0.03,0.053051767162656915,0.111
15,4,980.625,980.548,291.945,291.874,-0.077,-0.071,-0.11128813078718736,0.137
15,5,953.167,953.015,371.927,371.975,-0.152,0.048,-0.02226044052014231,0.08
15,6,919.198,919.129,449.368,449.296,-0.069,-0.072,-0.12713324310320218,0.097
15,7,878.95,878.834,523.74,523.748,-0.116,0.008,-0.01325010897008383,0.134
15,8,832.697,832.616,594.535,594.442,-0.081,-0.093,-0.11184394694205935,0.046
15,9,780.757,780.508,661.268,661.276,-0.249,0.008,-0.013310335185508393,0.11
15,10,723.483,723.427,723.483,723.467,-0.056,-0.016,-0.03398790993861667,0.056
15,11,661.268,661.061,780.757,780.784,-0.207,0.027,0.03480424280158445,0.096
15,12,594.535,594.484,832.697,832.707,-0.051,0.01,-0.027059595786738555,0.085
15,13,523.74,523.61,878.95,878.906,-0.13,-0.044,-0.10494499663039392,0.104
15,14,449.368,449.377,919.198,919.149,0.009,-0.049,-0.043810378621188306,0.104
15,15,371.927,371.796,953.167,953.101,-0.131,-0.066,-0.053031805848121394,0.052
15,16,291.945,291.925,980.625,980.627,-0.02,0.002,0.00660776788241435,0.115
15,17,209.968,209.858,1001.384,1001.385,-0.11,0.001,0.025610124654448896,0.069
15,18,126.557,126.507,1015.303,1015.295,-0.05,-0.008,-0.021702537168067693,0.08
15,19,42.282,42.186,1022.286,1022.199,-0.096,-0.087,-0.027455539366414428,0.087
15,20,-42.282,-42.293,1022.286,1022.275,-0.011,-0.011,-0.014182224322624393,0.162
15,21,-126.557,-126.719,1015.303,1015.133,-0.162,-0.17,-0.05717202314239955,0.15
15,22,-209.968,-209.951,1001.384,1001.381,0.017,-0.003,0.005312213205598937,0.077
15,23,-291.945,-291.949,980.625,980.861,-0.004,0.236,-0.22137389052657852,0.074
15,24,-371.927,-371.871,953.167,953.167,0.056,0.0,-0.014650152596814792,0.138
15,25,-449.368,-449.437,919.198,919.168,-0.069,-0.03,0.028022473258246805,0.1
15,26,-523.74,-523.719,878.95,878.941,0.021,-0.009,0.031450597552165505,0.147
15,27,-594.535,-594.64,832.697,832.765,-0.105,0.068,0.05892671304980013,0.056
15,28,-661.268,-661.195,780.757,780.791,0.073,0.034,0.015629812662659504,0.143
15,29,-723.483,-723.555,723.483,723.572,-0.072,0.089,0.03483872823287726,0.066
15,30,-780.757,-780.677,661.268,661.316,0.08,0.048,0.04211696470825643,0.138
15,31,-832.697,-832.661,594.535,594.637,0.036,0.102,0.0011474053512898763,0.116
15,32,-878.95,-878.906,523.74,523.756,0.044,0.016,0.021194413720881045,0.157
15,33,-919.198,-918.989,449.368,449.385,0.209,0.017,0.07182929660567794,0.168
15,34,-953.167,-953.104,371.927,371.923,0.063,-0.004,-0.001875622731798643,0.206
15,35,-980.625,-980.483,291.945,291.998,0.142,0.053,0.021195673563028095,0.081
15,36,-1001.384,-1001.305,209.968,209.942,0.079,-0.026,-0.005235832395696249,0.143
15,37,-1015.303,-1015.201,126.557,126.643,0.102,0.086,-0.03209232932065387,0.15
15,38,-1022.286,-1022.211,42.282,42.299,0.075,0.017,-0.008617794833722936,0.146
