Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
15_1,Flatness,,0.169,0.200,0.169,Pass,
15_1,Centroid Z,6.725,7.890,"±1,000",1.165,Fail,0.165
ref 15_1,Flatness,,0.121,0.200,0.121,Pass,
ref 15_1,Centroid Z,5.000,6.110,"±1,000",1.110,Fail,0.110
15_3,Flatness,,0.111,0.200,0.111,Pass,
15_3,Centroid Z,6.725,7.565,"±1,000",0.840,Pass,
ref 15_3,Flatness,,0.038,0.200,0.038,Pass,
ref 15_3,Centroid Z,5.000,5.786,"±1,000",0.786,Pass,
15_5,Flatness,,0.080,0.200,0.080,Pass,
15_5,Centroid Z,6.725,7.304,"±1,000",0.579,Pass,
ref 15_5,Flatness,,0.055,0.200,0.055,Pass,
ref 15_5,Centroid Z,5.000,5.545,"±1,000",0.545,Pass,
15_7,Flatness,,0.134,0.200,0.134,Pass,
15_7,Centroid Z,6.725,7.232,"±1,000",0.507,Pass,
ref 15_7,Flatness,,0.028,0.200,0.028,Pass,
ref 15_7,Centroid Z,5.000,5.334,"±1,000",0.334,Pass,
15_9,Flatness,,0.110,0.200,0.110,Pass,
15_9,Centroid Z,6.725,7.139,"±1,000",0.414,Pass,
ref 15_9,Flatness,,0.013,0.200,0.013,Pass,
ref 15_9,Centroid Z,5.000,5.219,"±1,000",0.219,Pass,
15_11,Flatness,,0.096,0.200,0.096,Pass,
15_11,Centroid Z,6.725,6.996,"±1,000",0.271,Pass,
ref 15_11,Flatness,,0.027,0.200,0.027,Pass,
ref 15_11,Centroid Z,5.000,5.086,"±1,000",0.086,Pass,
15_13,Flatness,,0.104,0.200,0.104,Pass,
15_13,Centroid Z,6.725,6.822,"±1,000",0.097,Pass,
ref 15_13,Flatness,,0.029,0.200,0.029,Pass,
ref 15_13,Centroid Z,5.000,4.982,"±1,000",-0.018,Pass,
15_15,Flatness,,0.052,0.200,0.052,Pass,
15_15,Centroid Z,6.725,6.706,"±1,000",-0.019,Pass,
ref 15_15,Flatness,,0.082,0.200,0.082,Pass,
ref 15_15,Centroid Z,5.000,4.978,"±1,000",-0.022,Pass,
15_17,Flatness,,0.069,0.200,0.069,Pass,
15_17,Centroid Z,6.725,6.764,"±1,000",0.039,Pass,
ref 15_17,Flatness,,0.157,0.200,0.157,Pass,
ref 15_17,Centroid Z,5.000,5.037,"±1,000",0.037,Pass,
15_19,Flatness,,0.087,0.200,0.087,Pass,
15_19,Centroid Z,6.725,6.814,"±1,000",0.089,Pass,
ref 15_19,Flatness,,0.031,0.200,0.031,Pass,
ref 15_19,Centroid Z,5.000,5.133,"±1,000",0.133,Pass,
15_21,Flatness,,0.150,0.200,0.150,Pass,
15_21,Centroid Z,6.725,7.044,"±1,000",0.319,Pass,
ref 15_21,Flatness,,0.034,0.200,0.034,Pass,
ref 15_21,Centroid Z,5.000,5.198,"±1,000",0.198,Pass,
15_23,Flatness,,0.074,0.200,0.074,Pass,
15_23,Centroid Z,6.725,7.015,"±1,000",0.290,Pass,
ref 15_23,Flatness,,0.103,0.200,0.103,Pass,
ref 15_23,Centroid Z,5.000,5.223,"±1,000",0.223,Pass,
15_25,Flatness,,0.100,0.200,0.100,Pass,
15_25,Centroid Z,6.725,7.070,"±1,000",0.345,Pass,
ref 15_25,Flatness,,0.084,0.200,0.084,Pass,
ref 15_25,Centroid Z,5.000,5.216,"±1,000",0.216,Pass,
15_27,Flatness,,0.056,0.200,0.056,Pass,
15_27,Centroid Z,6.725,7.187,"±1,000",0.462,Pass,
ref 15_27,Flatness,,0.055,0.200,0.055,Pass,
ref 15_27,Centroid Z,5.000,5.319,"±1,000",0.319,Pass,
15_29,Flatness,,0.066,0.200,0.066,Pass,
15_29,Centroid Z,6.725,7.290,"±1,000",0.565,Pass,
ref 15_29,Flatness,,0.026,0.200,0.026,Pass,
ref 15_29,Centroid Z,5.000,5.423,"±1,000",0.423,Pass,
15_31,Flatness,,0.116,0.200,0.116,Pass,
15_31,Centroid Z,6.725,7.421,"±1,000",0.696,Pass,
ref 15_31,Flatness,,0.090,0.200,0.090,Pass,
ref 15_31,Centroid Z,5.000,5.531,"±1,000",0.531,Pass,
15_33,Flatness,,0.168,0.200,0.168,Pass,
15_33,Centroid Z,6.725,7.564,"±1,000",0.839,Pass,
ref 15_33,Flatness,,0.062,0.200,0.062,Pass,
ref 15_33,Centroid Z,5.000,5.673,"±1,000",0.673,Pass,
15_35,Flatness,,0.081,0.200,0.081,Pass,
15_35,Centroid Z,6.725,7.645,"±1,000",0.920,Pass,
ref 15_35,Flatness,,0.161,0.200,0.161,Pass,
ref 15_35,Centroid Z,5.000,5.912,"±1,000",0.912,Pass,
15_37,Flatness,,0.150,0.200,0.150,Pass,
15_37,Centroid Z,6.725,7.766,"±1,000",1.041,Fail,0.041
ref 15_37,Flatness,,0.038,0.200,0.038,Pass,
ref 15_37,Centroid Z,5.000,5.858,"±1,000",0.858,Pass,
13_1,Flatness,,0.121,0.200,0.121,Pass,
13_1,Centroid Z,6.725,7.755,"±1,000",1.030,Fail,0.030
ref 13_1,Flatness,,0.056,0.200,0.056,Pass,
ref 13_1,Centroid Z,5.000,6.031,"±1,000",1.031,Fail,0.031
13_3,Flatness,,0.081,0.200,0.081,Pass,
13_3,Centroid Z,6.725,7.453,"±1,000",0.728,Pass,
ref 13_3,Flatness,,0.058,0.200,0.058,Pass,
ref 13_3,Centroid Z,5.000,5.686,"±1,000",0.686,Pass,
13_5,Flatness,,0.113,0.200,0.113,Pass,
13_5,Centroid Z,6.725,7.195,"±1,000",0.470,Pass,
ref 13_5,Flatness,,0.029,0.200,0.029,Pass,
ref 13_5,Centroid Z,5.000,5.474,"±1,000",0.474,Pass,
13_7,Flatness,,0.105,0.200,0.105,Pass,
13_7,Centroid Z,6.725,7.111,"±1,000",0.386,Pass,
ref 13_7,Flatness,,0.033,0.200,0.033,Pass,
ref 13_7,Centroid Z,5.000,5.335,"±1,000",0.335,Pass,
13_9,Flatness,,0.073,0.200,0.073,Pass,
13_9,Centroid Z,6.725,7.000,"±1,000",0.275,Pass,
ref 13_9,Flatness,,0.058,0.200,0.058,Pass,
ref 13_9,Centroid Z,5.000,5.207,"±1,000",0.207,Pass,
13_11,Flatness,,0.087,0.200,0.087,Pass,
13_11,Centroid Z,6.725,6.799,"±1,000",0.074,Pass,
ref 13_11,Flatness,,0.037,0.200,0.037,Pass,
ref 13_11,Centroid Z,5.000,5.107,"±1,000",0.107,Pass,
13_13,Flatness,,0.079,0.200,0.079,Pass,
13_13,Centroid Z,6.725,6.698,"±1,000",-0.027,Pass,
ref 13_13,Flatness,,0.066,0.200,0.066,Pass,
ref 13_13,Centroid Z,5.000,5.055,"±1,000",0.055,Pass,
13_15,Flatness,,0.074,0.200,0.074,Pass,
13_15,Centroid Z,6.725,6.720,"±1,000",-0.005,Pass,
ref 13_15,Flatness,,0.054,0.200,0.054,Pass,
ref 13_15,Centroid Z,5.000,5.049,"±1,000",0.049,Pass,
13_17,Flatness,,0.179,0.200,0.179,Pass,
13_17,Centroid Z,6.725,6.825,"±1,000",0.100,Pass,
ref 13_17,Flatness,,0.092,0.200,0.092,Pass,
ref 13_17,Centroid Z,5.000,5.153,"±1,000",0.153,Pass,
13_19,Flatness,,0.104,0.200,0.104,Pass,
13_19,Centroid Z,6.725,6.921,"±1,000",0.196,Pass,
ref 13_19,Flatness,,0.083,0.200,0.083,Pass,
ref 13_19,Centroid Z,5.000,5.159,"±1,000",0.159,Pass,
13_21,Flatness,,0.189,0.200,0.189,Pass,
13_21,Centroid Z,6.725,6.961,"±1,000",0.236,Pass,
ref 13_21,Flatness,,0.044,0.200,0.044,Pass,
ref 13_21,Centroid Z,5.000,5.213,"±1,000",0.213,Pass,
13_23,Flatness,,0.104,0.200,0.104,Pass,
13_23,Centroid Z,6.725,7.048,"±1,000",0.323,Pass,
ref 13_23,Flatness,,0.106,0.200,0.106,Pass,
ref 13_23,Centroid Z,5.000,5.207,"±1,000",0.207,Pass,
13_25,Flatness,,0.115,0.200,0.115,Pass,
13_25,Centroid Z,6.725,7.154,"±1,000",0.429,Pass,
ref 13_25,Flatness,,0.073,0.200,0.073,Pass,
ref 13_25,Centroid Z,5.000,5.353,"±1,000",0.353,Pass,
13_27,Flatness,,0.122,0.200,0.122,Pass,
13_27,Centroid Z,6.725,7.278,"±1,000",0.553,Pass,
ref 13_27,Flatness,,0.049,0.200,0.049,Pass,
ref 13_27,Centroid Z,5.000,5.545,"±1,000",0.545,Pass,
13_29,Flatness,,0.093,0.200,0.093,Pass,
13_29,Centroid Z,6.725,7.553,"±1,000",0.828,Pass,
ref 13_29,Flatness,,0.034,0.200,0.034,Pass,
ref 13_29,Centroid Z,5.000,5.719,"±1,000",0.719,Pass,
13_31,Flatness,,0.137,0.200,0.137,Pass,
13_31,Centroid Z,6.725,7.667,"±1,000",0.942,Pass,
ref 13_31,Flatness,,0.021,0.200,0.021,Pass,
ref 13_31,Centroid Z,5.000,5.771,"±1,000",0.771,Pass,
11_1,Flatness,,0.128,0.200,0.128,Pass,
11_1,Centroid Z,6.725,7.711,"±1,000",0.986,Pass,
ref 11_1,Flatness,,0.072,0.200,0.072,Pass,
ref 11_1,Centroid Z,5.000,5.883,"±1,000",0.883,Pass,
11_3,Flatness,,0.118,0.200,0.118,Pass,
11_3,Centroid Z,6.725,7.391,"±1,000",0.666,Pass,
ref 11_3,Flatness,,0.026,0.200,0.026,Pass,
ref 11_3,Centroid Z,5.000,5.578,"±1,000",0.578,Pass,
11_5,Flatness,,0.115,0.200,0.115,Pass,
11_5,Centroid Z,6.725,7.190,"±1,000",0.465,Pass,
ref 11_5,Flatness,,0.056,0.200,0.056,Pass,
ref 11_5,Centroid Z,5.000,5.384,"±1,000",0.384,Pass,
11_7,Flatness,,0.112,0.200,0.112,Pass,
11_7,Centroid Z,6.725,7.125,"±1,000",0.400,Pass,
ref 11_7,Flatness,,0.016,0.200,0.016,Pass,
ref 11_7,Centroid Z,5.000,5.215,"±1,000",0.215,Pass,
11_9,Flatness,,0.196,0.200,0.196,Pass,
11_9,Centroid Z,6.725,6.932,"±1,000",0.207,Pass,
ref 11_9,Flatness,,0.057,0.200,0.057,Pass,
ref 11_9,Centroid Z,5.000,5.146,"±1,000",0.146,Pass,
11_11,Flatness,,0.079,0.200,0.079,Pass,
11_11,Centroid Z,6.725,6.776,"±1,000",0.051,Pass,
ref 11_11,Flatness,,0.038,0.200,0.038,Pass,
ref 11_11,Centroid Z,5.000,5.049,"±1,000",0.049,Pass,
11_13,Flatness,,0.096,0.200,0.096,Pass,
11_13,Centroid Z,6.725,6.751,"±1,000",0.026,Pass,
ref 11_13,Flatness,,0.037,0.200,0.037,Pass,
ref 11_13,Centroid Z,5.000,5.056,"±1,000",0.056,Pass,
11_15,Flatness,,0.135,0.200,0.135,Pass,
11_15,Centroid Z,6.725,6.991,"±1,000",0.266,Pass,
ref 11_15,Flatness,,0.062,0.200,0.062,Pass,
ref 11_15,Centroid Z,5.000,5.152,"±1,000",0.152,Pass,
11_17,Flatness,,0.099,0.200,0.099,Pass,
11_17,Centroid Z,6.725,6.947,"±1,000",0.222,Pass,
ref 11_17,Flatness,,0.052,0.200,0.052,Pass,
ref 11_17,Centroid Z,5.000,5.174,"±1,000",0.174,Pass,
11_19,Flatness,,0.137,0.200,0.137,Pass,
11_19,Centroid Z,6.725,7.010,"±1,000",0.285,Pass,
ref 11_19,Flatness,,0.038,0.200,0.038,Pass,
ref 11_19,Centroid Z,5.000,5.187,"±1,000",0.187,Pass,
11_21,Flatness,,0.103,0.200,0.103,Pass,
11_21,Centroid Z,6.725,7.141,"±1,000",0.416,Pass,
ref 11_21,Flatness,,0.053,0.200,0.053,Pass,
ref 11_21,Centroid Z,5.000,5.300,"±1,000",0.300,Pass,
11_23,Flatness,,0.145,0.200,0.145,Pass,
11_23,Centroid Z,6.725,7.353,"±1,000",0.628,Pass,
ref 11_23,Flatness,,0.020,0.200,0.020,Pass,
ref 11_23,Centroid Z,5.000,5.500,"±1,000",0.500,Pass,
11_25,Flatness,,0.207,0.200,0.207,Fail,0.007
11_25,Centroid Z,6.725,7.589,"±1,000",0.864,Pass,
ref 11_25,Flatness,,0.066,0.200,0.066,Pass,
ref 11_25,Centroid Z,5.000,5.680,"±1,000",0.680,Pass,



